checked_at_kst,source_path,source_kind,layer_name,column_name,data_type,row_count,null_count,null_rate,distinct_count,duplicate_nonnull_count,empty_string_count,whitespace_only_count,pseudo_missing_count,leading_zero_count,min,max,mean,std,q01,q25,q50,q75,q99,negative_count,zero_count,nonfinite_count,id_candidate,join_candidate,compression,notes
2026-07-23T22:08:59+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,Y,float64,498828,0,0.0,271313,227515,,,,,536240.919702121,567173.0636912445,549421.8944358333,5521.56237592113,539773.565742273,544913.9769607931,549056.8078090495,552640.2294668464,563029.3333340012,0,0,0,False,False,,
2026-07-23T22:09:00+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,DEDUPE_KEY,object,498828,0,0.0,410576,88252,0,0,0,0,,,,,,,,,,,,,False,True,,
2026-07-23T22:09:00+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,DUPLICATE_COUNT,int32,498828,0,0.0,35,498793,,,,,1.0,110.0,1.1234493653122921,0.4882445548320797,1.0,1.0,1.0,1.0,2.0,0,0,0,False,False,,
2026-07-23T22:09:00+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,CLUSTER_ID,object,498828,0,0.0,498828,0,0,0,0,0,,,,,,,,,,,,,True,True,,
2026-07-23T22:09:01+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,REPRESENTATIVE_NF_ID,object,498828,0,0.0,498828,0,0,0,0,0,,,,,,,,,,,,,True,True,,
2026-07-23T22:09:01+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,IS_REPRESENTATIVE,bool,498828,0,0.0,1,498827,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,0,False,False,,
2026-07-23T22:09:02+09:00,/members/dhnyu/fusedata/seoul/seoul_buildings_vworld_attributes.parquet,Parquet,,building_id,string,723875,0,0.0,723875,0,0,0,0,0,,,,,,,,,,,,,True,True,"[""ZSTD""]",
2026-07-23T22:09:02+09:00,/members/dhnyu/fusedata/seoul/seoul_buildings_vworld_attributes.parquet,Parquet,,A0,int32,723875,0,0.0,75613,648262,,,,,1.0,270682.0,21438.396861336558,17926.800876555004,342.0,8937.0,18313.0,28848.0,84792.26000000001,0,0,0,False,False,"[""ZSTD""]",
2026-07-23T22:09:02+09:00,/members/dhnyu/fusedata/seoul/seoul_buildings_vworld_attributes.parquet,Parquet,,A1,string,723875,0,0.0,721030,2845,0,0,0,164670,,,,,,,,,,,,,False,False,"[""ZSTD""]",
2026-07-23T22:09:02+09:00,/members/dhnyu/fusedata/seoul/seoul_buildings_vworld_attributes.parquet,Parquet,,A2,string,723875,0,0.0,557189,166686,0,0,0,0,,,,,,,,,,,,,False,False,"[""ZSTD""]",
